Ticker,Name,Sector
ETON,ETON PHARMACEUTCIALS INC,healthcare
BFIN,BANKFINANCIAL CORP,financial-services
MNSB,MAINSTREET BANCSHARES INC,financial-services
DYAI,DYADIC INTERNATIONAL INC,healthcare
CRBP,CORBUS PHARMACEUTICALS HOLDINGS IN,healthcare
DLTH,DULUTH HOLDINGS INC CLASS B,consumer-cyclical
LEGH,LEGACY HOUSING CORP,consumer-cyclical
SBFG,SB FINANCIAL GROUP INC,financial-services
HBB,HAMILTON BEACH BRANDS HOLDING COMP,consumer-cyclical
PBIP,PRUDENTIAL BANCORP INC,financial-services
JNCE,JOUNCE THERAPEUTICS INC,healthcare
TALO,TALOS ENERGY INC,energy
RESN,RESONANT INC,technology
PEBK,PEOPLES BANCORP OF NORTH CAROLINA,financial-services
SLNO,SOLENO THERAPEUTICS INC,healthcare
CKPT,CHECKPOINT THERAPEUTICS INC,healthcare
OSG,OVERSEAS SHIPHOLDING GROUP INC CLA,energy
EARN,ELLINGTON RESIDENTIAL MORTGAGE REI,financial-services
APTX,APTINYX INC,healthcare
GAIA,GAIA INC CLASS A,communication-services
FSFG,FIRST SAVINGS FINANCIAL GROUP INC,financial-services
CALB,CALIFORNIA BANCORP,financial-services
CFFI,C AND F FINANCIAL CORP,financial-services
XCUR,EXICURE INC,healthcare
PAND,PANDION THERAPEUTICS HOLDCO INC,healthcare
SPKE,SPARK ENERGY INC CLASS A,utilities
WEYS,WEYCO GROUP INC,consumer-cyclical
HROW,HARROW HEALTH INC,healthcare
UBFO,UNITED SECURITY BANCSHARES,financial-services
PBFS,PIONEER BANCORP INC,financial-services
III,INFORMATION SERVICES GROUP INC,technology
ORGO,ORGANOGENESIS HOLDINGS INC CLASS A,healthcare
GNE,GENIE ENERGY LTD CLASS B,utilities
BBCP,CONCRETE PUMPING HOLDINGS INC,industrials
AGTC,APPLIED GENETIC TECHNOLOGIES CORP,healthcare
WHG,WESTWOOD HOLDINGS GROUP INC,financial-services
GENC,GENCOR INDUSTRIES INC,industrials
CRK,COMSTOCK RESOURCES INC,energy
FUNC,FIRST UNITED CORP,financial-services
GFN,GENERAL FINANCE CORP,industrials
GSIT,GSI TECHNOLOGY INC,technology
OYST,OYSTER POINT PHARMA INC,healthcare
OVID,OVID THERAPEUTICS INC,healthcare
DHX,DHI GROUP INC,communication-services
NATR,NATURES SUNSHINE PRODUCTS INC,consumer-defensive
AVEO,AVEO PHARMACEUTICALS INC,healthcare
GALT,GALECTIN THERAPEUTICS INC,healthcare
PFSW,PFSWEB INC,technology
STND,STANDARD FINANCIAL CORP,financial-services
IBEX,IBEX LTD,industrials
CBNK,CAPITAL BANCORP INC,financial-services
ATLC,ATLANTICUS HOLDINGS CORP,financial-services
GNPX,GENPREX INC,healthcare
ASC,ARDMORE SHIPPING CORP,energy
PLBC,PLUMAS BANCORP,financial-services
MG,MISTRAS GROUP INC,industrials
MIRM,MIRUM PHARMACEUTICALS INC,healthcare
CLPR,CLIPPER REALTY INC,real-estate
SBBP,STRONGBRIDGE BIOPHARMA,healthcare
PINE,ALPINE INCOME PROPERTY TRUST INC,real-estate
OPBK,OP BANCORP,financial-services
ELOX,ELOXX PHARMACEUTICALS INC,healthcare
KLDO,KALEIDO BIOSCIENCES INC,healthcare
MRBK,MERIDIAN CORP,financial-services
PXLW,PIXELWORKS INC,technology
GRTS,GRITSTONE ONCOLOGY INC,healthcare
FCCO,FIRST COMMUNITY CORP,financial-services
CBAN,COLONY BANKCORP INC,financial-services
EOLS,EVOLUS INC,healthcare
MMAC,MMA CAPITAL HOLDINGS INC,financial-services
MEC,MAYVILLE ENGINEERING COMPANY INC,industrials
SQZ,SQZ BIOTECHNOLOGIES COMPANY,healthcare
UIHC,UNITED INSURANCE HOLDINGS CORP,financial-services
CEMI,CHEMBIO DIAGNOSTICS INC,healthcare
MPX,MARINE PRODUCTS CORP,consumer-cyclical
SGA,SAGA COMMUNICATIONS INC CLASS A,communication-services
LEVL,LEVEL ONE BANCORP INC,financial-services
MYFW,FIRST WESTERN FINANCIAL INC,financial-services
XFOR,X4 PHARMACEUTICALS INC,healthcare
ENZ,ENZO BIOCHEM INC,healthcare
FONR,FONAR CORP,healthcare
CORR,CORENERGY INFRASTRUCTURE TRUST REI,real-estate
AUBN,AUBURN NATIONAL BANCORPORATION INC,financial-services
WLFC,WILLIS LEASE FINANCE CORP,industrials
CNTG,CENTOGENE NV,healthcare
OVBC,OHIO VALLEY BANC CORP,financial-services
VNRX,VOLITIONRX LTD,healthcare
ICBK,COUNTY BANCORP INC,financial-services
ACRX,ACELRX PHARMACEUTICALS INC,healthcare
EBMT,EAGLE BANCORP MONTANA INC,financial-services
GBL,GAMCO INVESTORS INC CLASS A,financial-services
IMUX,IMMUNIC INC,healthcare
SAL,SALISBURY BANCORP INC,financial-services
BSGM,BIOSIG TECHNOLOGIES INC,healthcare
ABEO,ABEONA THERAPEUTICS INC,healthcare
ADES,ADVANCED EMISSIONS SOLUTIONS INC,basic-materials
ESTE,EARTHSTONE ENERGY INC CLASS A,energy
FGBI,FIRST GUARANTY BANCSHARES INC,financial-services
NYMX,NYMOX PHARMACEUTICAL CORP,healthcare
